simplified	traditional_in_level_2	traditional_in_level_1	level_1_order	first_level_2_mapping
否则	否則	否則	1894	3999_1
今年	今年	今年	2194	4004_1
天气	天氣	天氣	22	4004_1
十分	十分	十分	656	4004_1
一下	一下	一下	357	4007_1
形成	形成	形成	2332	4011_1
遭受	遭受	遭受	2037	4012_1
废墟	廢墟	廢墟	1046	4012_1
不忍	不忍	不忍	1597	4012_1
现在	現在	現在	250	4024_1
部队	部隊	部隊	208	4024_1
众人	眾人	眾人	1431	4034_1
汤姆	湯姆	湯姆	104	4043_1
古人	古人	古人	2	4048_1
之后	之後	之後	1458	4051_1
毕竟	畢竟	畢竟	2112	4053_1
的话	的話	的話	178	4053_1
试图	試圖	試圖	438	4054_1
印象	印象	印象	392	4054_1
重新	重新	重新	2374	4054_1
虽然	雖然	雖然	1628	4055_1
但是	但是	但是	249	4055_1
怎么	怎麼	怎麼	62	4057_1
变得	變得	變得	132	4057_1
这么	這麼	這麼	251	4057_1
厉害	厲害	厲害	252	4057_1
比较	比較	比較	1954	4058_1
角色	角色	角色	2702	4058_1
看来	看來	看來	484	4059_1
足够	足夠	足夠	299	4059_1
人生	人生	人生	2410	4059_1
人才	人才	人才	31	4070_1
手臂	手臂	手臂	179	4074_1
逐渐	逐漸	逐漸	2259	4074_1
增加	增加	增加	1743	4074_1
压力	壓力	壓力	470	4074_1
直到	直到	直到	223	4074_1
消失	消失	消失	1477	4074_1
机场	機場	機場	1049	4080_1
其他	其他	其他	951	4080_1
飞机	飛機	飛機	59	4080_1
顿时	頓時	頓時	1957	4080_1
晶莹	晶瑩	晶瑩	1924	4087_1
剔透	剔透	剔透	1925	4087_1
参加	參加	參加	498	4094_1
战役	戰役	戰役	153	4094_1
泰国	泰國	泰國	2504	4095_1
北边	北邊	北邊	2505	4095_1
接壤	接壤	接壤	2506	4095_1
缅甸	緬甸	緬甸	2507	4095_1
老挝	老撾	寮國	2508	4095_1
优秀	優秀	優秀	1769	4097_1
人民	人民	人民	1608	4097_1
农民	農民	農民	1837	4101_1
变化	變化	變化	1382	4109_1
政策	政策	政策	1517	4130_1
发现	發現	發現	269	4132_1
人口	人口	人口	2258	4140_1
博物	博物	博物	2238	4163_1
马上	馬上	馬上	2732	4163_1
狮子	獅子	獅子	1542	4163_1
如果	如果	如果	174	4165_1
大陆	大陸	大陸	1099	4175_1
进行	進行	進行	704	4175_1
细致	細緻	細緻	1964	4179_1
故事	故事	故事	1755	4179_1
鲤鱼	鯉魚	鯉魚	2735	4233_1
觉得	覺得	覺得	716	4233_1
礼物	禮物	禮物	727	4238_1
作为	作為	作為	2032	4241_1
处理	處理	處理	325	4242_1
十足	十足	十足	1500	4242_1
总理	總理	總理	1777	4243_1
贮藏	貯藏	貯藏	1290	4244_1
估计	估計	估計	1778	4244_1
存在	存在	存在	588	4257_1
许多	許多	許多	340	4257_1
革命	革命	革命	1546	4259_1
这里	這裡	這裡	12	4259_1
政府	政府	政府	712	4280_1
掌管	掌管	掌管	815	4280_1
机构	機構	機構	1204	4280_1
以后	以後	以後	614	4280_1
得到	得到	得到	1201	4288_1
绰号	綽號	綽號	2321	4288_1
老板	老闆	老闆	1070	4289_1
接近	接近	接近	1377	4292_1
正在	正在	正在	24	4293_1
国民	國民	國民	1975	4299_1
幸福	幸福	幸福	1066	4303_1
总是	總是	總是	589	4303_1
必要	必要	必要	2610	4303_1
提供	提供	提供	1614	4304_1
就是	就是	就是	882	4315_1
第一	第一	第一	747	4315_1
六十	六十	六十	1029	4317_1
有了	有了	有了	1620	4319_1
炽热	熾熱	熾熱	2059	4326_1
岩浆	岩漿	岩漿	2060	4326_1
敌人	敵人	敵人	1273	4326_1
即使	即使	即使	317	4335_1
工作	工作	工作	942	4335_1
后来	後來	後來	532	4345_1
提起	提起	提起	709	4345_1
名字	名字	名字	108	4345_1
武汉	武漢	武漢	362	4346_1
铁路	鐵路	鐵路	1052	4346_1
不好	不好	不好	744	4346_1
狼狈	狼狽	狼狽	997	4353_1
描绘	描繪	描繪	2050	4353_1
那样	那樣	那樣	1251	4354_1
除了	除了	除了	245	4357_1
负责	負責	負責	377	4357_1
报告	報告	報告	853	4357_1
结局	結局	結局	1538	4370_1
失败	失敗	失敗	696	4370_1
那是	那是	那是	421	4373_1
肯定	肯定	肯定	602	4382_1
玛丽	瑪麗	瑪麗	443	4382_1
不会	不會	不會	28	4382_1
开车	開車	開車	756	4382_1
红色	紅色	紅色	575	4384_1
给予	給予	給予	1864	4389_1
只是	只是	只是	1192	4397_1
东部	東部	東部	123	4397_1
位于	位於	位於	121	4410_1
回到	回到	回到	1254	4415_1
技术	技術	技術	247	4417_1
方法	方法	方法	187	4417_1
欧洲	歐洲	歐洲	156	4417_1
历史	歷史	歷史	111	4417_1
蜗牛	蝸牛	蝸牛	2574	4430_1
一直	一直	一直	782	4430_1
莴苣	萵苣	萵苣	2575	4430_1
一块	一塊	一塊	847	4451_1
事情	事情	事情	17	4459_1
之一	之一	之一	103	4483_1
所以	所以	所以	300	4484_1
孩子	孩子	孩子	38	4489_1
眼睛	眼睛	眼睛	1685	4493_1
区别	區別	區別	1826	4503_1
周围	周圍	周圍	2011	4521_1
丘陵	丘陵	丘陵	659	4521_1
职位	職位	職位	276	4525_1
队伍	隊伍	隊伍	501	4528_1
停止	停止	停止	2769	4528_1
前进	前進	前進	88	4528_1
与此同时	與此同時	與此同時	1305	4536_1
朝鲜	朝鮮	朝鮮	2700	4536_1
导弹	導彈	導彈	2301	4536_1
精神	精神	精神	2481	4538_1
老人	老人	老人	1567	4538_1
需要	需要	需要	8	4539_1
分析	分析	分析	1464	4540_1
正是	正是	正是	1548	4541_1
民主	民主	民主	1681	4541_1
主要	主要	主要	1570	4541_1
直接	直接	直接	1321	4543_1
合金	合金	合金	2213	4544_1
气体	氣體	氣體	1680	4548_1
